fic;date;country;currency;mportret;mportretx
AUS;2023-04-28;AUSTRALIA;AUD;0.01705427725193642;0.01651199079437138
AUS;2023-05-31;AUSTRALIA;AUD;-0.02887447365754026;-0.03276595891923073
AUS;2023-06-30;AUSTRALIA;AUD;0.01890982292264876;0.01712764263149413
AUS;2023-07-31;AUSTRALIA;AUD;0.02872139420514852;0.02847096002354443
AUS;2023-08-31;AUSTRALIA;AUD;-0.006819660097676872;-0.01359602606108146
AUS;2023-09-29;AUSTRALIA;AUD;-0.02569557292836688;-0.03334904651647386
AUS;2023-10-31;AUSTRALIA;AUD;-0.03815195611091082;-0.03923269299447452
AUS;2023-11-30;AUSTRALIA;AUD;0.04851561323486231;0.04400047964930409
AUS;2023-12-29;AUSTRALIA;AUD;0.071966505328801;0.07043909679617366
AUS;2024-01-31;AUSTRALIA;AUD;0.0120989930751827;0.01181241485287265
AUS;2024-02-29;AUSTRALIA;AUD;0.01173656167780446;0.005627368243118713
AUS;2024-03-28;AUSTRALIA;AUD;0.02898602218261992;0.02241783083044302
AUS;2024-04-30;AUSTRALIA;AUD;-0.0286301648954389;-0.02907889513243367
AUS;2024-05-31;AUSTRALIA;AUD;0.009118971526655084;0.004351100110966843
AUS;2024-06-28;AUSTRALIA;AUD;0.00904466983279284;0.007450546198265462
AUS;2024-07-31;AUSTRALIA;AUD;0.03806329569392219;0.03788776279949047
AUS;2024-08-30;AUSTRALIA;AUD;0.005075416824753098;0.0006347585873629491
AUS;2024-09-30;AUSTRALIA;AUD;0.03362835577612699;0.02519254778943214
AUS;2024-10-31;AUSTRALIA;AUD;-0.01188328725498866;-0.01224812139331155
AUS;2024-11-29;AUSTRALIA;AUD;0.03535283764645913;0.03169957097185039
AUS;2024-12-31;AUSTRALIA;AUD;-0.02988934897722351;-0.03124845112023267
CHE;2002-01-31;SWITZERLAND;CHF;-0.02212628295860308;-0.02214604953978228
CHE;2002-02-28;SWITZERLAND;CHF;0.01166071068019847;0.01164568606595617
CHE;2002-03-28;SWITZERLAND;CHF;0.04875942857521554;0.04556977998775813
CHE;2002-04-30;SWITZERLAND;CHF;-0.004108600886055469;-0.007961227606026577
CHE;2002-05-31;SWITZERLAND;CHF;0.002962876773781042;-0.0006387404709223832
CHE;2002-06-28;SWITZERLAND;CHF;-0.08168697279660064;-0.08206972350023889
CHE;2002-07-31;SWITZERLAND;CHF;-0.132371446432722;-0.1353353346009413
CHE;2002-08-30;SWITZERLAND;CHF;0.005082533196073546;0.00100248341452791
CHE;2002-09-30;SWITZERLAND;CHF;-0.08946342154475884;-0.08981117132130334
CHE;2002-10-31;SWITZERLAND;CHF;0.03038492451640118;0.03036858522128427
CHE;2002-11-29;SWITZERLAND;CHF;0.03793621981121142;0.03793621981121098
CHE;2002-12-30;SWITZERLAND;CHF;-0.08584674727399155;-0.08589301985997422
CHE;2003-01-31;SWITZERLAND;CHF;-0.05012404061413644;-0.050124040614137
CHE;2003-02-28;SWITZERLAND;CHF;-0.05277759898623025;-0.05291021248532601
CHE;2003-03-31;SWITZERLAND;CHF;-0.008524093152222356;-0.01341889261911133
CHE;2003-04-30;SWITZERLAND;CHF;0.1207559097102815;0.1097605173632772
CHE;2003-05-30;SWITZERLAND;CHF;0.008882750272712236;0.005041353688219452
CHE;2003-06-30;SWITZERLAND;CHF;0.03579119076364901;0.03548549807156509
CHE;2003-07-31;SWITZERLAND;CHF;0.04822376496526615;0.04779648266683068
CHE;2003-08-29;SWITZERLAND;CHF;0.02113966014970714;0.0201782893623077
CHE;2003-09-30;SWITZERLAND;CHF;-0.01518622943684456;-0.01556999526751701
CHE;2003-10-31;SWITZERLAND;CHF;0.04199662696469431;0.0419813534764033
CHE;2003-11-28;SWITZERLAND;CHF;0.01781650004381752;0.01778919169285498
CHE;2003-12-30;SWITZERLAND;CHF;0.02643645439270026;0.02638587861513697
CHE;2004-01-30;SWITZERLAND;CHF;0.04890809013518438;0.04890809013518416
CHE;2004-02-27;SWITZERLAND;CHF;0.01552806073056878;0.01187321187212209
CHE;2004-03-31;SWITZERLAND;CHF;-0.02440345554822843;-0.02460872334308317
CHE;2004-04-30;SWITZERLAND;CHF;0.03024793722916952;0.02002529157063582
CHE;2004-05-28;SWITZERLAND;CHF;-0.02197134319734295;-0.02396491275223145
CHE;2004-06-30;SWITZERLAND;CHF;0.007052410417177857;0.00642416290724479
